sim_id,trajectory_type,disturbed_inputs,simulation_time (s),time_sample (s),N,M,mpc_success,num_iterations,mpc_RMSe,mpc_execution_time (s),operation,failed_rotors,ang_speed_percentages (%),mpc_min_phi (rad),mpc_max_phi (rad),mpc_mean_phi (rad),mpc_std_phi (rad),mpc_min_theta (rad),mpc_max_theta (rad),mpc_mean_theta (rad),mpc_std_theta (rad),mpc_min_psi (rad),mpc_max_psi (rad),mpc_mean_psi (rad),mpc_std_psi (rad),mpc_max_omega0 (rad/s),mpc_max_omega1 (rad/s),mpc_max_omega2 (rad/s),mpc_max_omega3 (rad/s),mpc_max_omega4 (rad/s),mpc_max_omega5 (rad/s),mpc_max_omega6 (rad/s),mpc_max_omega7 (rad/s),nn_success,nn_execution_time (s),nn_RMSe,nn_min_phi (rad),nn_max_phi (rad),nn_mean_phi (rad),nn_std_phi (rad),nn_min_theta (rad),nn_max_theta (rad),nn_mean_theta (rad),nn_std_theta (rad),nn_min_psi (rad),nn_max_psi (rad),nn_mean_psi (rad),nn_std_psi (rad),nn_min_omega_squared,nn_max_omega0,nn_max_omega1,nn_max_omega2,nn_max_omega3,nn_max_omega4,nn_max_omega5,nn_max_omega6,nn_max_omega7,radius (m),period (s),inter_position_RMSe,RMSe_u0,RMSe_u1,RMSe_u2,RMSe_u3,RMSe_u4,RMSe_u5,RMSe_u6,RMSe_u7
1,circle_xy,False,10.0,0.02,60,10,True,499,3.1293195440665516,12.171592200174928,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.44090009099910904,1.1265714355479148,0.027231286577759316,0.24583550035499435,-0.08714116030660359,0.06245101000194447,-0.002417266781666345,0.023893143239487734,-0.11523662360519524,0.019575012305194945,-0.012780216325516928,0.03209773050593469,285.4163430338553,284.52223398437087,283.9570831146746,281.98437006311383,285.2698417332347,285.3286407299988,285.5678129246721,284.26940283651277,True,2.497283100092318,3.1158853106749778,-0.4376033831075408,0.692328470324525,0.011803468079635816,0.18020240854766256,-0.09873693329759141,0.07399673550862139,0.0006405997540687061,0.03199819571769302,-0.06703970267375299,0.004844481594280687,-0.031208465802158098,0.011765115253409428,39724.165014133265,261.21929714308806,261.349286362591,257.26330515140927,259.5973414328703,254.85663130017704,257.311148692791,256.8893741083131,260.09890612299273,3.0,0.2,0.26199053697949065,8.607706581429813,8.38487369428573,7.484422376561892,7.8159746054867085,8.58352025802287,8.50548563020652,8.810018227003598,8.521257418351835
2,circle_xy,False,10.0,0.02,60,10,True,499,3.128286927407593,10.704270500020357,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-1.147112764364696,0.5037418590725397,-0.024551955835840487,0.25817335949281345,-0.3330793106932403,0.2129403991988003,-0.0011511676131160087,0.11137952956903747,-0.2651111722066382,0.2049399489776117,0.09904447073724564,0.08546285341480549,284.8954958917572,285.45944126857313,285.8363290024164,282.76045498629867,281.6691629983292,279.5357235585947,278.3138058791169,281.76555416888027,True,2.53018429983058,3.1164827988541863,-0.708832597362511,0.3740346968390095,-0.010314703445147738,0.17091592407778253,-0.05755138572853353,0.055798193194884486,0.00043357110723767317,0.02218559505807059,-0.00950701741532023,0.05060146701900297,0.00589358275034184,0.00869523460098398,41312.70190845785,251.45916894984182,252.83696893148377,254.43681640396576,253.30591693830564,253.64956026427086,254.48851602713273,253.9705663759225,254.0659802851244,3.0,0.5,0.28870445740461637,10.345539075617724,10.226866735550672,10.494715170498042,11.1522377639999,11.081075115369,11.309401587777192,9.980484893057232,10.532199456987668
3,circle_xy,False,10.0,0.02,60,10,True,499,3.17740092771457,19.55761370024993,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-1.1474404627573285,0.7735209581945149,-0.022663556874458535,0.34467977738882344,-0.5214452141497387,0.6379283271813682,-0.01899020722621596,0.2648382113979344,-0.13131254855045862,1.091547807770924,0.4800940640029286,0.21095756417437336,278.4863242425431,280.64749900948306,270.6676272403144,287.19619630908977,282.04326544538867,290.70313978551866,282.727932901137,291.4262301902135,True,2.679832799854921,3.1327691306726333,-0.7836275590128211,0.4356187281512118,-0.007665159918461911,0.1814712003488333,-0.14646464600657036,0.16697989788615242,-0.0009194423801408205,0.06963677203242818,-0.0077802910646408655,0.1275169718388039,0.09371828223220424,0.02260487864176096,38355.78300790768,242.49358277867324,242.1097104338586,242.64191815248088,241.94628682546409,248.9629876632125,242.85179461053687,243.74940944329578,242.55902203860146,3.0,0.8,0.4471714610987414,12.047692623360664,13.437899451523492,13.740370268112185,15.58762802618731,13.441698133981635,16.25980515105283,14.616238927141188,15.46526766770512
4,circle_xy,False,10.0,0.02,60,10,True,499,20.182261108868957,21.14520659990376,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-6.0948688017376265,1.0644244897962507,-0.8909858593758017,1.7356302403674142,-1.1561257456956275,1.4806249881357125,0.10364057102149528,0.6279996947856055,-4.646188288648489,6.916878279314899,-1.762025671748324,2.0917627109466306,342.770787989644,342.770787989644,342.77078797873753,342.77078797488997,342.77078796660527,342.77078795834126,342.7707879830166,342.770787989644,True,3.458846700261347,3.1021672887142318,-0.6835972751159403,0.588058994154889,-0.008207247869262125,0.2823697766719542,-0.46139600674971787,0.4289733021194104,0.0013477520699741472,0.2439451455467215,-0.5275962867336697,0.007313316585648618,-0.2668917261459084,0.10892701186636343,40192.59467716527,256.4086946262177,256.47917340088287,267.00510114417267,259.14146924056,263.5527974586976,261.35406689604633,260.8197656105336,255.9893801873344,3.0,1.0,19.80871019388012,83.84912732501586,82.31398593225558,83.68180764413647,85.89879414163767,81.92358999984785,78.53824808074822,84.61868913759811,83.64748583827071
5,circle_xy,False,10.0,0.02,60,10,True,499,63.04957112862452,18.502882899920223,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-3.136953807380892,3.813671235400375,-0.7226616237871671,1.5484816659607072,-1.3797617042459205,1.5472955693993267,0.19392498382903722,0.6253793637776338,-98.10945239773042,3.8491847508380457,-20.198889862380177,29.331824850136933,342.7707879892214,342.7707879679684,342.77078798877756,342.7707879867913,342.7707879880726,342.7707879876102,342.7707879847532,342.7707879682865,True,3.6508912997087464,3.2641559812507657,-0.679610628662417,0.7444886041451135,-0.004475101607222058,0.48225185059791514,-0.7598278832767771,0.7348333183156703,-0.00694656024435988,0.45863612556937605,-1.1270791422759896,0.11183242892605955,-0.527930806485442,0.323431743974977,39310.11335058836,293.39515946006844,273.3165959934897,290.8924427013206,266.19246598109305,285.5396083420524,277.06427398328475,290.88024844425576,270.5966862181888,3.0,1.2,62.33964357933145,76.99178880003326,69.00478889963185,75.8770433029681,79.72066521694525,57.49014309331113,63.820823667419376,72.67560824325847,68.03212540964664
6,circle_xy,False,10.0,0.02,60,10,True,499,13.301468297296015,14.447987900290173,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-3.6655489410954636,1.7991459930138616,-0.605672519547922,1.5026914894810794,-1.2968419510171505,1.3442119104934689,0.1425493948065146,0.7175828906317763,-52.786701470056194,1.3136413414503907,-7.082837151802699,12.256556268713128,342.77078798854154,342.7707879642384,342.77078798551554,342.7707879871662,342.7707879879991,342.7707879870865,342.77078798889016,342.7707879880105,True,2.532585899811238,3.231806578092352,-0.7742073109208573,0.7380153817896978,0.0465599975969643,0.5169756749667178,-0.8076200565683086,0.729415661261835,-0.019205654980098522,0.47190518963882366,-1.2708615693710599,0.6377087097593549,-0.38881310883619274,0.4590362114461206,22040.47860444314,287.9782694015348,281.7890275687961,298.84108443246,279.4202976511502,293.99680635648457,287.9069095783141,278.36780663673676,284.33265259454714,3.0,1.5,11.9522694701861,77.48368535166003,104.31102824764098,72.925592308812,109.52228298175642,70.11031924561208,93.76943292432273,78.08662566362392,65.32000408154107
7,circle_xy,False,10.0,0.02,60,10,True,499,73.43773106993905,22.280305200139992,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-9.927403510850384,1.6476960296110685,-3.5196401331248137,3.880832930716314,-1.460126275307746,1.1783880772173347,-0.27137491534364383,0.6077780993986628,-3.8374178603300515,151.0695898915228,32.0377427966001,45.86366328308137,342.770787989644,342.770787989644,342.77078534192043,342.77078790817177,342.77078725827414,342.77078798739365,342.7707514588576,342.770787989644,True,2.274765299720457,3.2917699498447006,-0.7577476314883964,0.7561033296281325,0.016531574747263966,0.5368599389142074,-0.7640998007501592,0.7370794259507218,0.016186664587868833,0.4958360797096963,-1.0988418424430495,0.0,-0.6177683172762245,0.24402304507228081,38898.46553777566,282.65091972519326,285.9690427887358,289.07126507418565,284.91191589603744,294.7758972619714,294.5016975017179,284.60244049398085,287.285317778531,3.0,1.8,72.53066063018676,61.96526351569014,68.27095058248253,53.55835591033857,70.849322753962,104.41353167041603,102.24219609341773,63.29926630097565,61.06775611650768
8,circle_xy,False,10.0,0.02,60,10,True,499,41.18531297691398,16.17919629943208,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-1.9611785245754818,1.7222439212171987,-0.5058444520810477,0.9210603334647336,-0.5330104663141005,1.3397195459840727,0.3611702877808456,0.43077352158409304,-14.134098882231141,11.758117761261113,-1.5862394797400083,6.197659822186232,342.77078798963595,342.77078798960025,342.7707879894353,342.7707879894336,342.77078798960054,342.77078798961975,342.7707879896376,342.7707879896377,True,2.9644328998983838,3.0158574678788637,-0.772982721557811,0.7667440249530247,0.022586765841233685,0.5464192487405417,-0.7084026234780177,0.7679636453405387,-0.0004988725172953678,0.516202077208517,-0.05647702246802502,1.0644968329758318,0.5782112537822578,0.24406973814843813,39835.97399416077,292.5555667133082,287.33000726370426,277.3883153585822,285.60310150294237,278.9843367728061,284.1314373232292,280.2978134436607,286.3436663478485,3.0,2.0,39.98269782044721,67.73500221771616,67.30825792449743,76.38170206358706,66.48293495079322,70.18056299026661,67.9838329054511,74.56137390959974,68.34821726316373
9,circle_xy,False,10.0,0.02,60,10,True,499,56.3571615116896,19.049428100377554,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-6.005529556792952,2.2042693659590578,-0.7448923530629311,2.1336025934448295,-1.433730735430534,1.321571285065355,-0.03762154346812238,0.4805722478130496,-3.903807589882235,16.238368857419378,7.420671402625236,7.821824438620036,342.770787989644,342.770787989644,342.77078798942955,342.77078798949066,342.7707879895166,342.77078798946906,342.7707879834715,342.770787989644,True,2.4254307002702262,2.874919553761414,-0.7524445852961967,0.7850184656253584,0.09304393584136592,0.5305193828146646,-0.7238829514390834,0.7566745350609857,0.029568598055429593,0.5344607806816791,-0.11792554548473544,1.069736212227778,0.5103424728620614,0.26916235894138807,39485.82745917566,297.3589437721385,294.03094159863105,286.6096885769763,291.52345379422303,282.94937962176937,285.9611813093219,286.55348266060156,293.4771284267239,3.0,2.2,55.198987898163125,61.57444962654182,71.5297758259512,74.31754862907214,67.45221053530977,61.39830832564513,67.99082944521274,75.04948925081817,69.64987140299057
10,circle_xy,False,10.0,0.02,60,10,True,499,53.30997507397787,20.799397400114685,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-6.136284872535153,6.3266895006639325,1.013345621940767,2.0231676692847973,-1.4097699412924096,1.4357528282442107,0.1497048110893549,0.6110595846917849,-4.084150211484891,11.850952881228933,2.6169553261458707,3.2323284429864496,342.770787989644,342.770787989644,342.77078797829955,342.770787989644,342.7707879896441,342.7707879896441,342.770787989644,342.77078798916045,True,2.291085499833571,2.7361411353978324,-0.7182069202168561,0.7845283544620751,0.08241791739346135,0.5149587314958682,-0.7149205521966323,0.7586546340520629,-0.02199657775655559,0.5264799009558634,-0.17276240702629514,0.9539170066950481,0.47153167437866034,0.2627435013182229,38443.59845314501,287.61866948773934,290.8433168882889,284.4668865646752,290.49932713908396,281.9244811784298,286.22197725384774,281.4610496250251,289.8507237457696,3.0,2.5,52.18605565384064,61.59825158708277,72.51627348469181,67.98341346985468,72.40828592806204,67.76770609173214,71.96705272444986,71.31748620668274,66.70880618221005
11,circle_xy,False,10.0,0.02,60,10,True,499,46.21628664048324,20.517357799748424,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-2.941002163892785,5.870895591972686,1.6453255317561393,1.8960570473655345,-1.4889971298506928,1.4333484957154814,-0.04615314073208427,0.6261427906434975,-5.213130699933378,15.428604465090903,2.5186998119375934,5.741876142790851,342.7707879871834,342.7707879881433,342.7707879884503,342.770787989644,342.7707879896441,342.7707879896441,342.7707879835172,342.77078798778257,True,2.7603864997799974,2.5218912800975986,-0.6779011563401848,0.7303306694217043,0.06408262520582313,0.532668883071361,-0.7285583925443104,0.7159885843190635,-0.021536248480877866,0.5113804574642531,-0.9465642404329253,0.26697756494236974,-0.43641682256711545,0.26172465949266555,35937.55083658779,291.7449994413964,288.46395351937826,301.67736153160666,285.2134515385882,294.22972906297497,287.26315737557155,293.8268927924047,287.9642282832046,3.0,2.8,45.22465501136922,73.13768271235773,69.1423353002209,73.066192706521,73.13702398900958,71.04257100726402,72.90516921093732,72.49601115693406,71.34870965698757
12,circle_xy,False,10.0,0.02,60,10,True,499,53.54863811333759,15.233576599974185,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-1.5687642439850453,5.650536259659486,2.507067218082837,2.055200064079292,-1.2558391866886103,1.4484789370694293,-0.05605584126569565,0.520986338774542,-4.016578315229329,31.1779124389101,3.8263128835410276,9.606686717686625,342.7707879722167,342.77078798860964,342.77078798832554,342.770787989644,342.7707879896441,342.7707879896441,342.77078798582204,342.77078798788983,True,2.0430985004350077,2.36200676808742,-0.6961631967804705,0.738989485131094,0.0939154621588938,0.4980805375685262,-0.7248742291807999,0.7056876511448918,0.014432015396693216,0.48763227533133124,-0.8639110923710526,0.3095349832989079,-0.39837299098714507,0.24315281701275893,36358.92891982966,292.9921562292204,290.1362670947842,295.1384991624842,283.5175492697725,290.38985307337583,287.9533211262511,287.12474022785506,291.1440211423242,3.0,3.0,52.831264032436025,78.6142412515871,82.14964657450983,82.21732526634814,82.82395417794544,82.43365128374687,80.73939983329409,83.86829751918488,81.57000427966292
13,circle_xy,False,10.0,0.02,60,10,True,499,74.36143392369014,28.45354859964573,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-2.588468484203008,8.97776007724564,1.902849290055066,2.2617827553482295,-1.415859353318077,1.5175859757059476,0.13647192501718144,0.6697558421623226,-1.1948538147282874,16.912605296745806,3.713070720627235,4.462014034545936,342.7707879741729,342.7707879884193,342.77078798918694,342.770787989644,342.7707879896441,342.7707879896441,342.7707879698165,342.7707879750921,True,3.0794657999067567,2.221359984963042,-0.7025252904540206,0.747839466996095,0.040047141960844156,0.4787669796516562,-0.6975742681074888,0.6864087907624996,-0.03586621761304747,0.45715476936600424,-0.2597839501349189,0.9499821886629835,0.3358115153572711,0.23173274319968765,36467.16098752769,290.49832926447294,292.01922920060787,287.17054608259804,290.88874590052643,288.2776835734285,291.42929645315587,291.3523112591992,293.3444786829886,3.0,3.2,73.69563347101474,66.4337936373132,69.78946219461712,62.36419623304729,67.90526178232858,65.62589484029282,71.66383923482557,66.38243704270245,68.43677390284225
14,circle_xy,False,10.0,0.02,60,10,True,499,35.76663953717661,21.7295680999232,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-9.273199242394789,2.3921701518428504,-1.5427421834719293,3.1620382849576414,-1.441877749317126,1.5167680950872624,-0.24952078180840243,0.5672887600188439,-1.7873749741706453,66.94439995323458,11.061646323503142,16.56866158454073,342.770787989644,342.770787989644,342.770787989644,342.77078798869235,342.7707879874123,342.7707879894498,342.77078798948565,342.770787989644,True,2.760630299919285,2.1901998939755862,-0.6995315725633454,0.7405164274996132,0.008695034914941786,0.4645074305229236,-0.6772855261086371,0.6870051210287417,0.02389349349745461,0.43907185589372333,-0.2562083569519967,0.9438367237325576,0.3042402548650636,0.2756065496239121,34336.773738374584,293.7271545671661,294.6993784017831,291.9498580432468,294.4041843028772,289.7817871031262,295.47524599026866,294.02195487470874,296.2488161706876,3.0,3.5,35.12969755251003,68.12243821995199,74.93246156599862,68.28899502054921,76.67412955433853,85.33074667723453,77.81390777596933,72.10532285634838,78.92821499063577
15,circle_xy,False,10.0,0.02,60,10,True,499,71.9844877024251,24.14761320024263,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-9.470072279104752,1.7713842236647124,-3.2245355699032476,3.4710306197816627,-1.3430035735632788,1.4506752003703955,0.34678902770787046,0.6067384645618487,-126.18922655956005,1.545694834545058,-23.430969899439564,34.420017328719474,342.770787989644,342.770787989644,342.77078798813864,342.7707879880793,342.77078798699506,342.770787938156,342.77078781379225,342.770787989644,True,2.582093200122472,2.1432629662287934,-0.6990799271983759,0.7011462760131895,-0.07531948180163138,0.43091719217884156,-0.7180079004965134,0.6989048176341927,-0.06723948208225691,0.44480393037896787,-0.28997783220265394,0.8398543404713286,0.255948378017682,0.2620231786312667,34678.573761047446,287.0985693230212,291.2185765570827,290.99520711980364,291.1864482306589,292.578109180636,293.9651360880987,292.07114316896286,293.72022974668624,3.0,3.8,71.27879849068628,73.07073059166926,61.387840013200545,67.10118297817063,88.85993939301567,70.5246305382142,55.24488284950391,71.35550973984735,71.52205353085917
16,circle_xy,False,10.0,0.02,60,10,True,499,113.43069619508303,15.060115199972643,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-3.334553143098314,1.4851578417871467,-1.6707290525199556,1.4361745808850388,-0.7323432493856881,1.384774977999034,0.2323458337863752,0.5542389516937021,-231.26674569190703,2.4901794158160104,-53.01876660812304,67.45904126029724,342.77078798950436,325.9824671128083,342.7707879895083,325.6398839882757,342.7707869464605,325.16903751844006,342.7707873211178,328.65156844529037,True,2.259349500091048,2.0661638744343156,-0.5330225919644631,0.7367276199287107,0.09270396254056709,0.42494400260822834,-0.6967808706263122,0.7062864514686462,0.07276882720794944,0.41073601750957783,-0.8902565454207749,0.27761200435473493,-0.26617491685871425,0.2625264943822703,26107.351764947176,295.9294439611871,290.63434670329934,299.9267847743552,288.62181853279435,290.8740320801131,291.98468108847703,294.69310503628395,292.0092432144283,3.0,4.0,112.49495087685253,83.83985749364761,53.869618073342025,83.61449181885816,167.2211676446792,41.51863344643206,166.4583825029922,54.60506489756242,54.312353777625354
17,circle_xy,False,10.0,0.02,60,10,True,499,108.68176708528041,16.28317810027511,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-3.3168153785159635,1.3583064225613815,-1.6844227589209637,1.406634697029988,-1.2952939203548919,0.6798102138501776,-0.19005074176808898,0.519660241309706,-2.674482274273444,233.26246959353256,50.237712508746625,66.48773451184648,320.98496735294026,342.77078794419657,319.8839134529717,342.77078469108847,323.0319391547783,342.7707879849557,318.66107285777707,342.7707879862947,True,4.7140478008950595,1.7008783228332707,-0.48513593335010263,0.716784598280825,0.04289612890542694,0.38840833980235867,-0.6938101529993752,0.6506626391018111,-0.05428018811650641,0.40016430174870976,-0.22255605090607983,0.7559330897405157,0.20795470807747912,0.18457791554998815,27653.036783050396,293.529965103471,294.60745110618933,291.8551208318138,293.7385869419823,288.3048493207332,294.342059078019,293.5361671620396,295.4567910932451,3.0,4.2,108.03925431743217,40.15279610990149,83.72729212331024,150.02699448620334,42.386078693417545,161.2807389992297,69.57997995721178,73.14824692610978,83.95194414096488
18,circle_xy,False,10.0,0.02,60,10,True,499,78.94469133145579,16.72756509986357,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-7.161983581171503,1.852681603781886,-1.3285697249969233,1.5551840176867031,-1.503148150794152,1.1322962266396017,-0.29771491834049085,0.6201886956556937,-2.2419136878305563,93.3320621992372,20.75360572265405,27.800124523455608,342.770787988875,342.770787989644,342.77078796830125,342.7707879634632,339.44802496361405,342.77078789033595,342.77078798487776,342.770787989644,True,3.865519499988295,1.4615631418960988,-0.511704814894953,0.7105158147981526,0.04312700395038562,0.370577869372408,-0.6901746821665788,0.6226205736672312,-0.049740937257813304,0.37817846217477097,-0.2097264207837142,0.6580168210652485,0.1953073418545915,0.15484026016222993,27255.242134490632,289.65556282319557,288.4180397881958,285.9553997206861,287.9884944253498,285.1145827344567,289.22800535216686,287.42842302649905,289.72815226562284,3.0,4.5,78.43710796635021,69.36616769403018,79.70212463730505,58.35977646883481,57.42334207027363,48.79529882035703,57.59263191243792,57.62013876685453,78.8697678025324
19,circle_xy,False,10.0,0.02,60,10,True,499,23.87874190545792,14.7067972998193,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-6.669500365488782,1.8286366726846843,-0.8378177911594482,1.4564300652629172,-1.365011170647318,1.3614764375718076,0.10582027812289803,0.6958892255962406,-41.96852859365996,1.1459961253545432,-4.971772836450838,9.589400315218336,342.770787989644,342.7707876532492,342.7707879406461,342.7707865154809,342.77078790774755,342.770787951777,342.77078791062485,342.770787906612,True,2.2881129997840617,1.2701255360701362,-0.47991671220747395,0.7043679892488575,0.026761537081016383,0.35535160252923387,-0.6730969896291745,0.572613940127156,-0.05294943768965052,0.35641441740965074,-0.19730452921788705,0.5590629030114561,0.16885225165491227,0.13276344452968,27512.43072522187,282.78844713473114,280.6954565972629,278.60184473812427,281.7702593379473,279.07576347105345,283.2663442822901,279.9474474110892,281.99309723115925,3.0,4.8,23.46558492605243,69.77102225824756,64.45768458377417,68.60656782546872,52.438279125604026,56.3938236622972,59.17702404470248,68.40337579652984,61.02939543586081
