sim_id,trajectory_type,disturbed_inputs,simulation_time (s),time_sample (s),N,M,mpc_success,num_iterations,mpc_RMSe,mpc_execution_time (s),operation,failed_rotors,ang_speed_percentages (%),mpc_min_phi (rad),mpc_max_phi (rad),mpc_mean_phi (rad),mpc_std_phi (rad),mpc_min_theta (rad),mpc_max_theta (rad),mpc_mean_theta (rad),mpc_std_theta (rad),mpc_min_psi (rad),mpc_max_psi (rad),mpc_mean_psi (rad),mpc_std_psi (rad),mpc_max_omega0 (rad/s),mpc_max_omega1 (rad/s),mpc_max_omega2 (rad/s),mpc_max_omega3 (rad/s),mpc_max_omega4 (rad/s),mpc_max_omega5 (rad/s),mpc_max_omega6 (rad/s),mpc_max_omega7 (rad/s),nn_success,nn_execution_time (s),nn_RMSe,nn_min_phi,nn_max_phi,nn_mean_phi,nn_std_phi,nn_min_theta,nn_max_theta,nn_mean_theta,nn_std_theta,nn_min_psi,nn_max_psi,nn_mean_psi,nn_std_psi,nn_max_omega0,nn_max_omega1,nn_max_omega2,nn_max_omega3,nn_max_omega4,nn_max_omega5,nn_max_omega6,nn_max_omega7,radius (m),period (s),inter_position_RMSe,RMSe_u0,RMSe_u1,RMSe_u2,RMSe_u3,RMSe_u4,RMSe_u5,RMSe_u6,RMSe_u7,nn_min_phi (rad),nn_max_phi (rad),nn_mean_phi (rad),nn_std_phi (rad),nn_min_theta (rad),nn_max_theta (rad),nn_mean_theta (rad),nn_std_theta (rad),nn_min_psi (rad),nn_max_psi (rad),nn_mean_psi (rad),nn_std_psi (rad)
1,circle_xy,False,10.0,0.02,60,10,True,499,3.1167991708927136,11.71940820015152,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.70000042792689,0.35423427308502503,-0.012108728455455357,0.17281809872360568,-0.007042945807805422,0.007637536380738855,-5.012281348277344e-05,0.0022384956179213947,-0.0009010864655068331,0.006949538762669474,0.0007376857458210708,0.0018389071549437207,255.62212572539443,256.0672231975194,256.4754936173555,256.72245953371134,256.5541610298772,256.24830571190967,255.92921372240215,255.48872946257913,True,2.420025000348687,3.115291559620002,,,,,,,,,,,,,255.42772286211869,255.39617348747095,258.04222966815655,256.6738358076779,258.1238497518454,257.8067430214621,257.9075645647043,256.09827902911195,3.0,0.2,0.07094016830588903,2.8002344199652365,3.0302364100806067,3.129666549759415,3.0625160409832866,2.4544072271672817,2.4723729006759263,2.4406278957318435,2.5382193250408456,-0.7214983035910186,0.3706090800688728,-0.010517157566175172,0.1710433431479868,-0.10313719701928814,0.11526439365554983,0.001635832776913817,0.036631602592747045,-0.05097477375139727,0.01840979606400121,-0.003123496507975071,0.016206909119444723
2,circle_xy,False,10.0,0.02,60,10,True,499,3.1159381549108724,12.45960000003106,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.3671346886033618,0.6999609266611496,0.01089838566532232,0.16817296924763495,-0.028964453382474286,0.039206917464426165,0.00020010020941592634,0.017256234908869215,-0.012585475509341429,0.031635995784094685,0.00510677259258147,0.0068277556889922535,256.45601662959956,256.7695924883271,255.74343008114022,254.5709857064341,253.27232423811466,252.92578398395898,254.04726367333868,255.66295097388652,True,2.609823500009952,3.118396908489789,,,,,,,,,,,,,258.6065730010843,262.4909969897346,255.86080202317225,260.8167011913687,256.5447417793179,255.70720529352903,256.7481528634637,257.1115146310473,3.0,0.5,0.07958203194562707,2.5666771381744926,2.287341711298175,2.424825281244651,2.139454303178289,2.8170379622022663,2.4604536147572467,2.4572043283755023,2.487297354059616,-0.41956017914603744,0.6686212377858963,0.01067724920299046,0.1738810186833401,-0.08109037903004099,0.0568626338321898,0.0004567198815138188,0.02328640950746191,-0.01770290931748424,0.045378139549456874,0.00303772881340484,0.011744665904949164
3,circle_xy,False,10.0,0.02,60,10,True,499,3.123964104391782,13.365424300252926,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.4458811128815017,0.6999176249594404,0.009103449872981022,0.17391264716756347,-0.1046345451574969,0.12432744582158534,-0.0009805496478159576,0.05639746086159092,-0.08426766842565754,0.01272749316220651,-0.026420796007552302,0.01586573191134088,249.10415253535868,250.6510863093185,250.15282137357246,249.46179932676364,249.5344030159332,249.01816528127097,247.95124721731887,247.98466899773874,True,2.579935999994632,3.1258302904868174,,,,,,,,,,,,,246.4730476068189,246.74108557268733,243.88646115698185,243.27312672157532,244.9650931790392,243.60800519762907,245.43352123938266,243.53983501794832,3.0,0.8,0.06529884492507508,2.95861146358243,2.9226624304003472,3.205189601915067,2.460144215150665,2.746350245816657,2.602112310404937,2.870939072413123,3.0277260346867543,-0.3932659435602499,0.7530848105071996,0.007007740567204635,0.1731048496882208,-0.11193461095291529,0.11313113421486912,6.395607071158426e-05,0.04786969099858979,-0.08510621407853694,0.00729171908518102,-0.05795809545233135,0.01798478191287831
4,circle_xy,False,10.0,0.02,60,10,True,499,3.1076105221150896,12.80847490017186,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.5495796746894445,0.6164746403055887,0.014581441242026474,0.28188735678707083,-0.43298104990230013,0.4164590536564642,0.0018085192396089464,0.22743021345842,-0.1638154956060908,0.42388993407063663,0.2570599861017256,0.12254194118473166,267.1098310154542,269.20724012212276,265.098493630146,266.31711047777424,262.4567232280379,265.4462880829124,264.84467204173484,268.6183888296124,True,2.7610871997312643,3.1162994461180773,,,,,,,,,,,,,267.5883320126703,270.2083230504582,259.9624511663496,264.69875221219803,258.2780068720879,260.1966566128517,260.6286832804821,263.9883826373316,3.0,1.0,0.1287241234102702,2.9391869757127758,3.765434189150926,3.232953651267252,3.4692343650706303,3.471685880537164,3.9756090639300217,4.048050068069215,4.53351545643725,-0.5090467476198234,0.662436984083081,0.009351297033243612,0.2804612065664464,-0.41724254489932483,0.4161009801455853,0.004641976926780317,0.20895753266344977,-0.11977921025847231,0.4894673436517078,0.24263195561176285,0.11767992393457437
5,circle_xy,False,10.0,0.02,60,10,True,499,3.2583185018767584,15.359162000444485,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.7011724508422935,0.7017069643286675,0.02117590162982003,0.46007266493362436,-0.7097794357345716,0.7824980020822613,0.03565997796002646,0.42959171343617986,-1.0786881411040579,1.2866446477115776,0.5019867698603002,0.5936494947847424,301.03000832598474,314.3820674856162,262.7278349357061,320.02796284472885,301.70181208633386,342.71401621120623,260.4780549049548,338.08572273198945,True,2.532536700426135,3.2613708381953983,,,,,,,,,,,,,271.2770848225376,279.235208835268,261.8491817676411,274.75151447677797,268.4507275521604,267.70168828641954,264.2521281821339,269.6136095175947,3.0,1.2,0.8643442395110694,18.34556672114715,22.479393665833154,27.49442154027526,21.940780184461225,17.694389072783196,18.99853242460903,30.64866671059224,21.41191079339802,-0.7353490042603819,0.7301165630491042,0.009543007623235695,0.4898472673647656,-0.692944965362634,0.7721188591389287,0.01673639071346949,0.46227246995327725,-0.41625632422586234,1.1130456278880116,0.5868852024800892,0.37711104556643055
6,circle_xy,False,10.0,0.02,60,10,True,499,3.3049024887456264,15.042529199825367,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.7257513979460497,0.7188746469503734,-0.037270061139726855,0.530292632472795,-0.739395645521217,0.7161535881588682,-0.021882381638192325,0.4703365627668523,-0.4422302219040805,1.2543417384404336,0.6618935578302066,0.4104024005849928,271.91759127846836,323.3443830620692,281.9195050089863,318.61975743254106,294.12086471820515,312.09771295314414,266.054931156621,304.3998250307749,True,2.46178499981761,3.218783632084996,,,,,,,,,,,,,280.025412276733,296.18719770390686,272.5370652385739,297.1221659229962,284.08416665178316,290.0290221329152,267.6828310427192,292.5217013379553,3.0,1.5,0.5935469641277213,13.10148892084299,12.17067703059662,13.829328644748397,11.92088681840148,11.121409956207941,10.299681364227972,13.450651298190694,11.16651392476817,-0.7470162038129663,0.7548028164262623,-0.012047618310738301,0.4960554986924429,-0.7315459140140773,0.7756750129854224,-0.007531979268802418,0.47079184432359583,-0.4657162071701389,1.1510704508878218,0.5134796841156734,0.3776676556731801
7,circle_xy,False,10.0,0.02,60,10,True,499,3.1470158479465016,14.819054199761013,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.7197945371627906,0.7180408745478359,-0.004118342163105918,0.5537558815597056,-0.7113546509052536,0.7098813263852939,0.01919033312840613,0.5092930759087101,-1.1520176768407568,0.004042959311543811,-0.7188611775739971,0.23395097002757229,290.2614929653667,293.4901271502041,279.4256037797478,291.7553700808839,295.1209427828475,294.6167823684834,289.1018170187836,280.86561888148316,True,2.6809921000967734,3.2917699498447006,,,,,,,,,,,,,282.65091972519326,285.9690427887358,289.07126507418565,284.91191589603744,294.7758972619714,294.5016975017179,284.60244049398085,287.285317778531,3.0,1.8,0.8520055249159687,13.618300896655834,12.9548561865654,14.783514630978534,14.783712444640498,13.72995744988986,13.480593519220834,17.565028810004666,13.297889702350982,-0.7577476314883964,0.7561033296281325,0.016531574747263966,0.5368599389142074,-0.7640998007501592,0.7370794259507218,0.016186664587868833,0.4958360797096963,-1.0988418424430495,0.0,-0.6177683172762245,0.24402304507228081
8,circle_xy,False,10.0,0.02,60,10,True,499,3.005124722629388,14.947005799651379,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.7140445285710598,0.714141645020843,0.019402535014738532,0.5598602043405725,-0.7104961971311747,0.7110915326462893,0.008518513627211682,0.529347548658307,-1.0503337515756088,0.05004024583223859,-0.6620594340705461,0.24155550712686516,291.7487993315999,286.1960909307667,287.7317573263336,282.9220775674818,288.4361580232272,282.39396064460846,283.8288471185323,283.2772204509729,True,2.596124499483267,2.915586537665928,,,,,,,,,,,,,285.30195423160495,283.22213081149323,279.7528220193811,276.97290777788487,283.2294980167198,280.57097268441555,280.13086324844954,278.34090845730657,3.0,2.0,0.39821247899782797,8.701970698872891,7.645144120245058,9.01571208112548,9.025736700574091,8.510126450614914,7.858341592038396,8.124313782507919,7.551418478801446,-0.7409243518995665,0.7415235242188973,0.011381351118399649,0.5673735293610662,-0.7269413587066132,0.736625848977148,0.0017894190530043518,0.5037169413194167,-1.0673465862437412,0.06343711084973522,-0.5688153805151682,0.239627662836559
9,circle_xy,False,10.0,0.02,60,10,True,499,2.8744820472380415,14.344131699908758,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.7178914664612911,0.7174459450594569,-0.049426916620666055,0.5453936485080341,-0.7072739976003365,0.708295680370397,0.02889015939888405,0.5396067303160004,-0.990138272343304,0.1190160161666654,-0.5994126166040595,0.24772922458132723,293.1955321384759,289.69415194152936,286.6104939247683,288.17617054030035,293.108951455394,296.6134913999298,283.82893140196103,289.51689143851036,True,2.479815599770518,3.0918911983166932,,,,,,,,,,,,,301.47863888270473,294.53706500726435,303.2505183110213,285.6477241705209,302.8139843378951,296.86956755006196,301.12410081810407,296.7908553080044,3.0,2.2,1.5148969863048851,19.758500700154034,17.662134396014373,21.77066314800469,18.413288520217442,19.199713519663266,17.856715809585186,18.995025648855083,17.073903613419727,-0.7592850694313371,0.7603467166212363,0.041897281943175074,0.5349499219038261,-0.7300743376862027,0.7230972874943772,0.04401350771403344,0.5239456645846002,-1.1310910742106839,0.5815397457292026,-0.3911048049559546,0.4140582475866021
10,circle_xy,False,10.0,0.02,60,10,True,499,2.6942193177184772,13.8297806000337,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.7140280981462552,0.7161156453031096,-0.012461244678763844,0.5289852786099947,-0.7081889961327672,0.706935077476777,-0.019312247475935664,0.5396369250650557,-0.932635475235815,0.18613928513503056,-0.5383058578384096,0.2514728712443156,283.374401434043,278.8253012032761,286.53822658375833,281.7099888727728,285.2954377386803,282.4057699232954,291.4876418170811,282.4398126139862,True,2.513227000250481,2.7060286005081444,,,,,,,,,,,,,284.735977179939,282.4779099089154,291.8680926239665,280.4600402989691,291.7556624786369,283.72360065947396,289.1469264186804,283.010616289562,3.0,2.5,0.6017885615402739,14.70800891841631,12.708299083555485,14.874898047898851,12.5666625962791,14.091590122532592,12.667602166603825,14.012956854321537,11.950512688193148,-0.7236230395727624,0.7321412300223691,0.02542858495519283,0.54476757788665,-0.7249559254856216,0.7233906053872846,0.0024980025995747805,0.532881529594769,-1.0423232857615325,0.12106746861522881,-0.4579013191588834,0.29091872837453553
11,circle_xy,False,10.0,0.02,60,10,True,499,2.5223331618919818,13.560073000204284,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.710937308807794,0.7118168227398726,-0.01623197026089593,0.5160168594878122,-0.7084164183099451,0.7071831847037685,0.050452964315514846,0.5178631120577997,-0.24053550536022997,0.8513552204806988,0.4644787291676321,0.24093889269437402,281.71444337032045,287.56533102566084,282.51834324499106,282.74929131413217,281.13590459039426,284.37444221053545,282.6837825505627,289.1283034662205,True,2.480718500504736,2.5795459919718717,,,,,,,,,,,,,289.4117504580118,288.6915050228675,282.36464421683866,285.41138489355785,283.4288970766822,287.8122531363477,287.0747116399413,287.65421204765016,3.0,2.8,0.7872048561513612,14.26006421470595,15.685179633617079,14.862096481093177,15.700500998269966,14.1540866518094,15.391443318282075,14.985633525981694,15.443298581306571,-0.662659477879799,0.7536213596304713,0.07737958275043855,0.5149506005081098,-0.6966074936778094,0.7354557688118029,0.00802293114505854,0.49202996002568133,-0.2161668145760412,0.9125852392470414,0.4596036488975082,0.24840080036920548
12,circle_xy,False,10.0,0.02,60,10,True,499,2.3694344606162616,13.868770299828611,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.7078545580645519,0.7155279838250889,0.022765160625225857,0.4874009680066276,-0.7053791465625159,0.7084080577369231,-0.07714233218710745,0.5041150286224166,-0.8068908838614697,0.28163180668059346,-0.39303338470764226,0.24339416188822754,286.85504524954115,283.9465218483999,286.7193392154507,280.8884867034457,285.12132595738245,283.6535179995271,286.74614114110653,285.39849900480584,True,2.7004906999645755,2.36200676808742,,,,,,,,,,,,,292.9921562292204,290.1362670947842,295.1384991624842,283.5175492697725,290.38985307337583,287.9533211262511,287.12474022785506,291.1440211423242,3.0,3.0,1.018254129313241,23.013348775576,21.81273850240848,24.31586291731578,21.31625977850083,22.984057125426464,21.36729822683542,24.003049488853623,21.181817782479435,-0.6961631967804705,0.738989485131094,0.0939154621588938,0.4980805375685262,-0.7248742291807999,0.7056876511448918,0.014432015396693216,0.48763227533133124,-0.8639110923710526,0.3095349832989079,-0.39837299098714507,0.24315281701275893
13,circle_xy,False,10.0,0.02,60,10,True,499,2.2988035443447283,13.736221699917223,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.7067356496947896,0.7189845572454299,0.02775764293332236,0.4747523783858215,-0.6720466234227089,0.7026704341519726,0.052029832023068365,0.4724977243014318,-0.304244981506377,0.8485332599510428,0.3503853439134979,0.2583048532827313,284.4627124229265,290.2537724864863,285.792990500837,292.71252231880254,278.4383794235509,286.0614602089481,287.863755505615,283.1452221261077,True,2.6101492998132017,2.221359984963042,,,,,,,,,,,,,290.49832926447294,292.01922920060787,287.17054608259804,290.88874590052643,288.2776835734285,291.42929645315587,291.3523112591992,293.3444786829886,3.0,3.2,0.8880408774339301,20.099213600354574,23.16159685422542,21.623312139755203,23.312150077221737,20.92470565826933,22.494114258451994,23.404859175113298,23.366146302792792,-0.7025252904540206,0.747839466996095,0.040047141960844156,0.4787669796516562,-0.6975742681074888,0.6864087907624996,-0.03586621761304747,0.45715476936600424,-0.2597839501349189,0.9499821886629835,0.3358115153572711,0.23173274319968765
14,circle_xy,False,10.0,0.02,60,10,True,499,2.1034590990918645,13.032709800143493,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.7160347028568695,0.7040528098096666,-0.05008202939826409,0.4561170896147955,-0.6513110847497335,0.7028533455172408,0.02884979123714078,0.468393057052221,-0.8434065025698032,0.31754003096836686,-0.30531345527761244,0.2439327648817554,286.752377335556,284.4099328424119,285.2623637846054,284.87748508082933,289.61188857182094,284.40666140718054,287.67367290507605,282.95788502239765,True,2.5108606998983305,2.156038224008191,,,,,,,,,,,,,293.679247132338,289.2440971808707,297.1599525008068,290.5481064586981,295.6898679271937,295.26060389047285,294.17496310214653,293.0314987089279,3.0,3.5,0.6082809190593407,14.87396720801539,14.586983561168267,14.896727336440978,14.278492985600773,14.593085421668064,14.113810036080062,15.156769954996362,13.4798799352771,-0.774101196472961,0.6853376323373425,-0.024111217238548633,0.44341455686012615,-0.6859687929034187,0.7089990369916189,0.04386928330404244,0.4498210192546277,-0.9573158978619705,0.26576507838297747,-0.3406369463904738,0.24902573648669388
15,circle_xy,False,10.0,0.02,60,10,True,499,1.9768690546473935,13.097559200134128,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.7160261282911896,0.5365297030768723,-0.08733469925876033,0.44522123888203285,-0.7034340977785133,0.6663413427727902,0.022163995346763075,0.4234798955852879,-0.30057890541359655,0.8435486474277955,0.2604732838960307,0.24745554207368115,277.4206338261119,286.134138516722,283.8345540391863,281.06979919812136,286.76458642034936,284.31600479407035,281.768536655457,290.7126234114675,True,2.3358433999528643,2.1432629662287934,,,,,,,,,,,,,287.0985693230212,291.2185765570827,290.99520711980364,291.1864482306589,292.578109180636,293.9651360880987,292.07114316896286,293.72022974668624,3.0,3.8,0.8863551801915879,23.265240995752364,25.38352999172511,23.970272487998596,25.84617964855436,23.269461564800775,24.972028157271197,24.07364793321615,25.639758377071274,-0.6990799271983759,0.7011462760131895,-0.07531948180163138,0.43091719217884156,-0.7180079004965134,0.6989048176341927,-0.06723948208225691,0.44480393037896787,-0.28997783220265394,0.8398543404713286,0.255948378017682,0.2620231786312667
16,circle_xy,False,10.0,0.02,60,10,True,499,1.9036616480665796,12.874884399934672,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.7137413288974346,0.520591921758477,-0.0633646493190528,0.4292786302786085,-0.7026617685743008,0.699978248400233,0.0630307079536593,0.3978298038379953,-0.27446109862750206,0.8599759204954756,0.24705663576983633,0.24751405127557535,276.3218424315142,291.60520370288697,279.64474222115865,289.37319945188295,282.1931357626471,283.8349222664937,284.6727958961807,286.3908031642635,True,2.6731752000923734,2.3681937662072845,,,,,,,,,,,,,298.20117429806845,294.4335863782789,301.14538929683914,294.6915355527157,301.14966995686314,298.3664014237381,299.6362072648866,299.07400854376266,3.0,4.0,1.113591439309787,26.428793461234907,25.818061949419576,26.97286342430575,25.33251691441406,25.700730921853093,27.808179833624962,25.38975821795526,27.784785668072317,-0.7134923547487357,0.5858070007603587,-0.1515767292564495,0.45671668191222853,-0.6929881811728028,0.7010452138543113,0.06421941992924797,0.42354987981554376,-0.3096925279469782,0.8384446993297826,0.2046988650603327,0.3593270455429496
17,circle_xy,False,10.0,0.02,60,10,True,499,1.7289503780078155,12.893915199965704,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.6155475209417642,0.7161166416788003,0.046742694626465825,0.40114595186339536,-0.7008035445134736,0.6885458228750267,-0.044794094872848744,0.4031545541443676,-0.2817936975049045,0.8361391079904278,0.21967629342917033,0.226730587374985,286.8517392210973,292.1458887688198,285.27567405798095,290.50260105145634,285.1362941107554,291.7708711803965,286.71540330216516,293.45379097929316,True,2.484768900234485,1.7008783228332707,,,,,,,,,,,,,293.529965103471,294.60745110618933,291.8551208318138,293.7385869419823,288.3048493207332,294.342059078019,293.5361671620396,295.4567910932451,3.0,4.2,0.35817388006574935,11.435891068356833,11.916292455037924,11.580147035116896,12.171315796708575,11.351403739910479,11.673766396166,11.715736257107533,11.85127955955096,-0.48513593335010263,0.716784598280825,0.04289612890542694,0.38840833980235867,-0.6938101529993752,0.6506626391018111,-0.05428018811650641,0.40016430174870976,-0.22255605090607983,0.7559330897405157,0.20795470807747912,0.18457791554998815
18,circle_xy,False,10.0,0.02,60,10,True,499,1.4674419475646774,12.028788100433303,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.7069191062102528,0.6646483403914214,-0.044843337596448825,0.3959779003556473,-0.6267839362667567,0.6953817041658829,0.050031612175971504,0.3629779300849605,-0.2617439657366348,0.7049959397988428,0.18843510820638928,0.19071310743236766,281.5682487790425,287.6101356609052,282.6831752869541,288.61388683636983,283.7285228169031,287.63528434063505,281.43575564078725,286.62910440260595,True,2.6871242999914102,2.038779279639176,,,,,,,,,,,,,285.71649512869277,293.3847706101625,293.6470590071223,292.5339980360914,290.384335111961,294.35525873742984,288.1652177853377,294.96070857225084,3.0,4.5,0.8632267355739702,18.504303699084414,19.778197447161023,18.1676735639954,20.031659658043306,18.34440359773049,20.609823387724198,18.381904546746647,19.982682732846857,-0.695521600036987,0.7044612942229543,-0.011229918329128574,0.4228830726702676,-0.6647505563227365,0.6999328344066639,0.06110519710909185,0.4057608738403038,-0.504019646901341,0.8074328711212159,0.19491886372439235,0.33386425617150994
19,circle_xy,False,10.0,0.02,60,10,True,499,1.2576063758570308,11.382889799773693,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.7044023769464488,0.6393431124942911,-0.023663401190593562,0.37234755568315314,-0.5597972536070236,0.6957270210415917,0.057892167274747726,0.33818431514497727,-0.24365073524232705,0.6024249057875339,0.15167649908890132,0.1643850177756402,278.4996037858997,284.5662495233093,279.65679127480314,285.5140754898546,279.7698077441945,284.82340313182107,278.61308977804947,283.8732633304464,True,2.731984899874078,1.6674806777406688,,,,,,,,,,,,,282.50444352927013,289.9205290513115,288.2875689156695,288.8210982334019,287.7664647249116,289.62055439730267,284.66355259994367,289.86423518225524,3.0,4.8,0.6207815576270721,15.200882967673891,15.401026001286395,13.896966572588953,15.466698196260081,14.979859007945937,15.700137668463631,14.333140995182093,15.352571114216811,-0.6658290669581529,0.6580233473609183,-0.019203446321964784,0.3960418082526985,-0.6466138320046497,0.6995468242928226,0.05354976296253831,0.3584164197521816,-0.31166973914277035,0.702835912518977,0.1741074690667703,0.25117840608231196
